epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7908,0.92995,12.1521,0.02026,0.10933,0.11574,0.09321,0.07958,1.03237,12.9992,0.02934,0.00018577,0.00018577,0.00018577
2,35.1436,0.92907,6.83417,0.01903,0.27025,0.27315,0.25948,0.22737,0.94314,7.19131,0.02551,0.000376281,0.000376281,0.000376281
3,40.932,0.96342,4.19664,0.02157,0.67173,0.42593,0.4377,0.27586,1.32481,4.21818,0.03874,0.000556888,0.000556888,0.000556888
4,46.9405,1.05439,2.86016,0.0229,0.53012,0.55394,0.52018,0.25719,1.79529,3.08059,0.05442,0.000727593,0.000727593,0.000727593
5,52.9203,1.0947,2.13361,0.02632,0.30283,0.35648,0.40946,0.19123,1.83037,2.56342,0.06149,0.000888395,0.000888395,0.000888395
6,58.4234,1.08817,1.7071,0.02437,0.36519,0.57186,0.46768,0.28737,1.57888,2.32754,0.05099,0.00103929,0.00103929,0.00103929
7,64.5605,1.12178,1.63406,0.02567,0.44375,0.60586,0.57353,0.33959,1.44815,2.17643,0.04474,0.00118029,0.00118029,0.00118029
8,69.9166,1.22251,1.49907,0.02729,0.56871,0.49537,0.50825,0.31204,1.55778,2.06497,0.04842,0.00118143,0.00118143,0.00118143
9,76.0201,1.12873,1.46113,0.02354,0.41255,0.4537,0.36093,0.20706,1.66172,2.5473,0.05016,0.00114606,0.00114606,0.00114606
10,81.3801,1.15154,1.41938,0.02529,0.83243,0.56342,0.65516,0.42863,1.43591,1.4306,0.04465,0.00111069,0.00111069,0.00111069
11,87.6564,1.11729,1.23192,0.02512,0.67431,0.64548,0.63355,0.3845,1.49776,1.3971,0.04471,0.00107532,0.00107532,0.00107532
12,93.1467,1.11719,1.28122,0.02442,0.62953,0.66679,0.69871,0.42262,1.41984,1.53894,0.0422,0.00103995,0.00103995,0.00103995
13,98.7255,1.13195,1.2146,0.02385,0.73126,0.73148,0.72267,0.41601,1.44387,1.46832,0.04392,0.00100459,0.00100459,0.00100459
14,104.862,1.10765,1.25724,0.02261,0.75886,0.56872,0.73067,0.45898,1.59518,1.17609,0.05005,0.000969219,0.000969219,0.000969219
15,110.286,1.05182,1.1945,0.0233,0.72888,0.70317,0.72995,0.48914,1.40094,1.47176,0.04304,0.000933851,0.000933851,0.000933851
16,116.681,1.00155,0.98476,0.02233,0.82814,0.73701,0.7292,0.49573,1.39065,1.16975,0.04258,0.000898484,0.000898484,0.000898484
17,122.188,1.11718,1.07489,0.0241,0.721,0.61228,0.6656,0.43762,1.30687,1.53534,0.03949,0.000863116,0.000863116,0.000863116
18,128.557,1.06463,1.03095,0.02441,0.93009,0.67559,0.79691,0.59273,1.18435,1.1356,0.0357,0.000827748,0.000827748,0.000827748
19,134.05,1.05751,1.0425,0.02337,0.8136,0.70697,0.75255,0.53112,1.34571,1.005,0.04215,0.00079238,0.00079238,0.00079238
